iter	Passed	Remaining
0	140	140386
1	143	71363
2	145	48257
3	147	36677
4	149	29814
5	151	25166
6	154	21898
7	156	19435
8	159	17513
9	161	16006
10	164	14762
11	165	13629
12	166	12678
13	168	11851
14	169	11133
15	171	10518
16	172	9959
17	173	9489
18	175	9039
19	176	8645
20	177	8282
21	178	7949
22	180	7650
23	181	7379
24	182	7129
25	183	6890
26	184	6666
27	186	6464
28	187	6275
29	188	6094
30	189	5927
31	190	5769
32	191	5624
33	193	5489
34	194	5357
35	195	5238
36	196	5119
37	198	5015
38	199	4926
39	201	4836
40	202	4743
41	203	4652
42	205	4569
43	206	4487
44	207	4410
45	209	4336
46	210	4264
47	211	4195
48	213	4143
49	215	4085
50	216	4021
51	217	3959
52	218	3905
53	219	3848
54	220	3792
55	221	3738
56	222	3687
57	223	3636
58	225	3591
59	226	3546
60	227	3500
61	228	3457
62	229	3414
63	230	3374
64	231	3335
65	233	3298
66	234	3262
67	234	3220
68	236	3185
69	237	3153
70	238	3120
71	240	3095
72	241	3063
73	242	3034
74	243	3003
75	244	2975
76	245	2946
77	246	2917
78	247	2890
79	248	2862
80	250	2838
81	251	2812
82	252	2789
83	253	2767
84	254	2739
85	255	2717
86	256	2690
87	257	2667
88	258	2646
89	259	2625
90	260	2603
91	261	2582
92	262	2561
93	263	2540
94	264	2520
95	265	2502
96	266	2483
97	267	2466
98	268	2447
99	269	2429
100	270	2411
101	271	2391
102	272	2374
103	273	2357
104	274	2342
105	275	2326
106	276	2310
107	277	2295
108	278	2280
109	280	2269
110	281	2254
111	282	2240
112	283	2226
113	284	2212
114	285	2199
115	286	2184
116	287	2172
117	288	2158
118	289	2144
119	290	2132
120	291	2119
121	292	2108
122	293	2094
123	294	2082
124	295	2071
125	297	2060
126	298	2049
127	298	2036
128	300	2026
129	301	2015
130	302	2006
131	303	1996
132	304	1985
133	305	1974
134	307	1967
135	308	1958
136	309	1948
137	310	1937
138	311	1927
139	312	1918
140	313	1908
141	314	1899
142	315	1891
143	316	1882
144	317	1873
145	318	1864
146	320	1859
147	322	1853
148	323	1845
149	324	1837
150	325	1830
151	326	1822
152	327	1815
153	328	1806
154	329	1798
155	331	1790
156	332	1783
157	333	1777
158	334	1769
159	336	1764
160	337	1757
161	338	1749
162	339	1742
163	340	1735
164	341	1727
165	342	1720
166	343	1712
167	344	1705
168	345	1698
169	346	1690
170	347	1684
171	348	1677
172	349	1670
173	350	1663
174	351	1658
175	352	1652
176	353	1645
177	354	1639
178	356	1634
179	357	1627
180	357	1619
181	358	1613
182	359	1606
183	361	1603
184	363	1599
185	364	1594
186	365	1589
187	367	1586
188	368	1583
189	370	1580
190	371	1575
191	373	1571
192	375	1571
193	378	1572
194	380	1569
195	381	1565
196	382	1560
197	383	1554
198	384	1548
199	385	1543
200	386	1537
201	388	1533
202	389	1528
203	390	1524
204	391	1518
205	392	1513
206	393	1508
207	395	1504
208	396	1499
209	397	1494
210	398	1490
211	399	1485
212	401	1481
213	402	1478
214	403	1473
215	404	1468
216	405	1463
217	406	1459
218	407	1454
219	408	1449
220	409	1445
221	410	1440
222	412	1435
223	413	1431
224	414	1426
225	415	1423
226	417	1421
227	418	1418
228	420	1414
229	421	1410
230	422	1407
231	424	1405
232	426	1402
233	428	1401
234	429	1398
235	431	1395
236	432	1392
237	434	1390
238	435	1387
239	436	1383
240	438	1380
241	439	1377
242	441	1374
243	442	1371
244	444	1368
245	445	1366
246	447	1364
247	448	1360
248	450	1357
249	451	1354
250	452	1351
251	454	1348
252	456	1346
253	457	1344
254	459	1342
255	460	1339
256	462	1336
257	463	1333
258	464	1329
259	465	1325
260	466	1322
261	468	1319
262	470	1317
263	471	1314
264	472	1310
265	473	1307
266	474	1303
267	476	1301
268	477	1297
269	479	1295
270	484	1302
271	487	1303
272	490	1306
273	493	1308
274	498	1313
275	507	1332
276	510	1332
277	514	1335
278	517	1337
279	520	1338
280	523	1339
281	526	1340
282	529	1341
283	531	1341
284	534	1340
285	536	1340
286	540	1342
287	543	1343
288	546	1343
289	548	1342
290	549	1339
291	552	1338
292	553	1336
293	556	1336
294	558	1335
295	562	1337
296	564	1337
297	568	1338
298	578	1355
299	581	1355
300	583	1355
301	585	1354
302	588	1353
303	590	1352
304	604	1377
305	607	1377
306	610	1377
307	613	1377
308	616	1378
309	619	1378
310	621	1377
311	624	1376
312	626	1375
313	629	1375
314	631	1374
315	633	1371
316	635	1368
317	636	1364
318	637	1361
319	638	1357
320	640	1354
321	641	1351
322	642	1347
323	643	1343
324	644	1339
325	646	1335
326	647	1331
327	648	1328
328	649	1324
329	650	1321
330	652	1318
331	653	1314
332	654	1310
333	655	1307
334	657	1305
335	660	1304
336	663	1304
337	666	1304
338	673	1313
339	676	1313
340	678	1310
341	679	1307
342	680	1303
343	681	1299
344	682	1296
345	683	1292
346	685	1289
347	686	1286
348	687	1283
349	688	1279
350	689	1275
351	690	1271
352	691	1268
353	692	1264
354	693	1260
355	694	1257
356	696	1253
357	697	1249
358	698	1246
359	699	1243
360	700	1240
361	701	1236
362	702	1233
363	703	1229
364	704	1226
365	705	1222
366	706	1219
367	707	1215
368	708	1212
369	709	1208
370	710	1205
371	711	1201
372	712	1198
373	714	1195
374	715	1191
375	716	1188
376	717	1185
377	718	1181
378	719	1178
379	720	1175
380	721	1171
381	722	1168
382	723	1165
383	724	1162
384	725	1159
385	726	1156
386	728	1153
387	729	1150
388	730	1147
389	731	1144
390	732	1141
391	733	1138
392	734	1135
393	736	1132
394	737	1129
395	738	1126
396	739	1123
397	740	1120
398	741	1117
399	743	1114
400	744	1111
401	745	1108
402	746	1105
403	747	1102
404	748	1099
405	749	1096
406	750	1092
407	751	1089
408	752	1086
409	753	1083
410	753	1080
411	754	1077
412	756	1074
413	757	1072
414	758	1069
415	759	1066
416	760	1063
417	761	1060
418	762	1057
419	763	1054
420	764	1051
421	766	1049
422	767	1046
423	768	1043
424	769	1040
425	771	1038
426	772	1037
427	774	1035
428	776	1033
429	777	1031
430	779	1028
431	781	1026
432	782	1024
433	783	1021
434	785	1020
435	786	1017
436	787	1014
437	788	1011
438	789	1008
439	790	1006
440	791	1003
441	792	1000
442	793	997
443	794	994
444	795	992
445	796	989
446	797	986
447	799	984
448	800	982
449	801	979
450	802	977
451	803	974
452	804	971
453	805	969
454	807	966
455	808	964
456	809	961
457	810	959
458	811	956
459	812	954
460	813	951
461	815	949
462	816	946
463	817	944
464	818	941
465	819	939
466	820	936
467	821	934
468	823	931
469	824	929
470	825	926
471	826	925
472	827	922
473	828	919
474	829	917
475	830	914
476	831	912
477	832	909
478	833	907
479	834	904
480	835	901
481	836	899
482	837	896
483	838	894
484	839	891
485	842	890
486	843	888
487	844	886
488	846	884
489	847	881
490	848	879
491	849	877
492	850	874
493	851	872
494	852	870
495	854	867
496	855	865
497	856	863
498	857	860
499	858	858
500	859	856
501	860	853
502	861	851
503	862	849
504	864	847
505	865	844
506	866	842
507	867	840
508	868	837
509	869	835
510	870	833
511	871	830
512	872	828
513	873	825
514	874	823
515	875	821
516	876	818
517	877	816
518	878	814
519	879	811
520	880	809
521	881	807
522	882	805
523	883	802
524	884	800
525	885	798
526	886	796
527	887	793
528	889	791
529	890	789
530	891	787
531	892	784
532	893	782
533	894	780
534	895	778
535	896	776
536	898	774
537	899	772
538	900	770
539	901	768
540	902	765
541	903	763
542	904	761
543	905	759
544	906	757
545	908	755
546	908	752
547	910	750
548	911	748
549	912	746
550	913	744
551	914	742
552	915	739
553	916	737
554	917	735
555	918	733
556	919	731
557	920	729
558	921	726
559	922	724
560	923	722
561	924	720
562	925	718
563	927	716
564	928	714
565	929	713
566	931	711
567	932	709
568	934	707
569	935	705
570	937	703
571	938	702
572	940	700
573	942	699
574	943	697
575	945	695
576	946	694
577	948	692
578	949	690
579	951	688
580	953	687
581	954	685
582	956	684
583	957	682
584	959	680
585	960	678
586	962	676
587	963	675
588	964	673
589	966	671
590	967	669
591	969	668
592	971	666
593	972	664
594	974	663
595	975	661
596	976	659
597	977	657
598	980	656
599	981	654
600	983	652
601	984	650
602	985	648
603	987	647
604	988	645
605	989	643
606	991	641
607	992	640
608	994	638
609	995	636
610	997	634
611	998	633
612	999	631
613	1001	629
614	1002	627
615	1003	625
616	1005	623
617	1007	622
618	1008	620
619	1009	618
620	1011	617
621	1012	615
622	1014	613
623	1015	611
624	1016	610
625	1018	608
626	1019	606
627	1020	604
628	1021	602
629	1022	600
630	1024	598
631	1025	597
632	1026	595
633	1028	593
634	1029	591
635	1031	590
636	1032	588
637	1033	586
638	1034	584
639	1035	582
640	1036	580
641	1037	578
642	1038	576
643	1039	574
644	1040	572
645	1041	570
646	1042	568
647	1043	566
648	1044	564
649	1045	563
650	1046	561
651	1047	559
652	1049	557
653	1050	555
654	1051	553
655	1052	551
656	1053	549
657	1054	548
658	1055	546
659	1056	544
660	1057	542
661	1058	540
662	1059	538
663	1060	536
664	1062	535
665	1063	533
666	1064	531
667	1065	529
668	1066	527
669	1067	525
670	1068	523
671	1069	522
672	1071	520
673	1072	518
674	1073	516
675	1074	514
676	1075	513
677	1076	511
678	1077	509
679	1078	507
680	1079	505
681	1080	503
682	1081	501
683	1082	500
684	1083	498
685	1084	496
686	1085	494
687	1086	492
688	1087	490
689	1089	489
690	1090	487
691	1091	485
692	1092	484
693	1093	482
694	1094	480
695	1095	478
696	1096	476
697	1098	475
698	1099	473
699	1100	471
700	1101	469
701	1102	467
702	1103	466
703	1104	464
704	1105	462
705	1106	460
706	1107	459
707	1108	457
708	1109	455
709	1110	453
710	1112	452
711	1113	450
712	1114	448
713	1115	446
714	1116	444
715	1117	443
716	1119	441
717	1120	440
718	1122	438
719	1123	436
720	1125	435
721	1126	433
722	1127	432
723	1128	430
724	1130	428
725	1132	427
726	1133	425
727	1134	423
728	1135	422
729	1136	420
730	1137	418
731	1138	416
732	1139	415
733	1141	413
734	1142	411
735	1143	410
736	1144	408
737	1145	406
738	1147	405
739	1148	403
740	1149	401
741	1150	399
742	1151	398
743	1152	396
744	1153	394
745	1154	393
746	1155	391
747	1156	389
748	1157	388
749	1158	386
750	1159	384
751	1160	382
752	1161	381
753	1162	379
754	1163	377
755	1165	376
756	1166	374
757	1167	372
758	1168	371
759	1169	369
760	1171	367
761	1172	366
762	1173	364
763	1174	362
764	1175	361
765	1177	359
766	1178	357
767	1179	356
768	1180	354
769	1181	352
770	1182	351
771	1183	349
772	1184	347
773	1186	346
774	1187	344
775	1188	343
776	1189	341
777	1190	339
778	1191	338
779	1192	336
780	1194	334
781	1195	333
782	1196	331
783	1197	329
784	1198	328
785	1199	326
786	1200	324
787	1201	323
788	1202	321
789	1203	319
790	1204	318
791	1205	316
792	1206	314
793	1207	313
794	1208	311
795	1209	310
796	1210	308
797	1212	306
798	1213	305
799	1214	303
800	1216	302
801	1217	300
802	1218	298
803	1219	297
804	1220	295
805	1221	294
806	1222	292
807	1223	290
808	1224	289
809	1225	287
810	1226	285
811	1228	284
812	1229	282
813	1230	281
814	1231	279
815	1232	278
816	1233	276
817	1234	274
818	1235	273
819	1236	271
820	1237	269
821	1238	268
822	1239	266
823	1240	265
824	1242	263
825	1243	262
826	1245	260
827	1246	258
828	1247	257
829	1249	255
830	1250	254
831	1251	252
832	1252	251
833	1253	249
834	1254	247
835	1256	246
836	1257	244
837	1259	243
838	1260	241
839	1261	240
840	1262	238
841	1264	237
842	1265	235
843	1266	234
844	1267	232
845	1268	230
846	1269	229
847	1270	227
848	1272	226
849	1273	224
850	1274	223
851	1275	221
852	1276	219
853	1277	218
854	1278	216
855	1279	215
856	1280	213
857	1281	212
858	1282	210
859	1283	208
860	1284	207
861	1285	205
862	1286	204
863	1287	202
864	1288	201
865	1289	199
866	1290	198
867	1291	196
868	1293	194
869	1294	193
870	1295	191
871	1296	190
872	1297	188
873	1298	187
874	1299	185
875	1300	184
876	1302	182
877	1303	181
878	1304	179
879	1305	177
880	1306	176
881	1307	174
882	1308	173
883	1309	171
884	1310	170
885	1311	168
886	1312	167
887	1314	165
888	1315	164
889	1316	162
890	1317	161
891	1318	159
892	1319	158
893	1320	156
894	1321	154
895	1322	153
896	1323	151
897	1324	150
898	1325	148
899	1326	147
900	1327	145
901	1328	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1333	136
907	1334	135
908	1335	133
909	1336	132
910	1337	130
911	1339	129
912	1340	127
913	1341	126
914	1342	124
915	1343	123
916	1344	121
917	1345	120
918	1346	118
919	1347	117
920	1348	115
921	1349	114
922	1350	112
923	1352	111
924	1353	109
925	1354	108
926	1355	106
927	1356	105
928	1357	103
929	1358	102
930	1359	100
931	1360	99
932	1361	97
933	1362	96
934	1363	94
935	1364	93
936	1365	91
937	1366	90
938	1367	88
939	1368	87
940	1369	85
941	1370	84
942	1371	82
943	1372	81
944	1373	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1378	72
950	1379	71
951	1381	69
952	1382	68
953	1383	66
954	1384	65
955	1385	63
956	1386	62
957	1387	60
958	1388	59
959	1389	57
960	1390	56
961	1392	54
962	1393	53
963	1394	52
964	1395	50
965	1396	49
966	1397	47
967	1398	46
968	1399	44
969	1400	43
970	1401	41
971	1402	40
972	1403	38
973	1404	37
974	1405	36
975	1406	34
976	1407	33
977	1408	31
978	1409	30
979	1410	28
980	1411	27
981	1412	25
982	1413	24
983	1414	23
984	1415	21
985	1416	20
986	1417	18
987	1419	17
988	1420	15
989	1421	14
990	1422	12
991	1423	11
992	1424	10
993	1425	8
994	1426	7
995	1427	5
996	1428	4
997	1429	2
998	1431	1
999	1432	0
